Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
grover_5,grover_5_1e-08_QuckPartitioner3_QSearch,9,34.32576775550842,48,288,48,248,351,1691,"XGate, HGate, CCXGate","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,8.560975609756097,33.0,1.170731707317073,6.0,,False,BQSkit
grover_5,grover_5_1e-08_QuckPartitioner3_LEAP,9,21.096822023391724,48,288,48,248,351,1691,"XGate, HGate, CCXGate","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,8.560975609756097,36.90243902439025,1.170731707317073,6.7804878048780495,,False,BQSkit
grover_5,grover_5_OptimizationLevel3,9,0.035821676254272,0,288,48,248,351,757,"h, x, ccx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
qcla_mod_7,qcla_mod_7_1e-08_QuckPartitioner3_QSearch,26,48.12387418746948,87,382,26,120,294,1756,"HGate, CNOTGate, XGate, CCXGate","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.454545454545454,29.803030303030305,1.318181818181818,5.363636363636363,,False,BQSkit
qcla_mod_7,qcla_mod_7_1e-08_QuckPartitioner3_LEAP,26,23.75406789779663,87,382,26,120,294,1756,"HGate, CNOTGate, XGate, CCXGate","SqrtXGate, CNOTGate, XGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.454545454545454,35.03030303030303,1.318181818181818,6.409090909090909,,False,BQSkit
qcla_mod_7,qcla_mod_7_OptimizationLevel3,26,0.032315492630004,28,366,26,117,294,903,"h, ccx, cx, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
hwb6,hwb6_1e-08_QuckPartitioner3_QSearch,7,17.431275129318237,41,116,29,94,109,499,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.192307692307692,22.96153846153846,1.5769230769230762,4.038461538461538,,False,BQSkit
hwb6,hwb6_1e-08_QuckPartitioner3_LEAP,7,9.295337677001953,41,116,29,94,109,499,"XGate, CNOTGate, HGate, CCXGate","XGate, SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.192307692307692,26.23076923076923,1.5769230769230762,4.692307692307692,,False,BQSkit
hwb6,hwb6_OptimizationLevel3,7,0.015474319458007,26,115,29,93,109,282,"h, cx, ccx, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
tof_4,tof_4_1e-08_QuckPartitioner3_QSearch,7,9.980405330657959,5,30,5,26,25,155,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.0,33.0,1.0,6.0,,False,BQSkit
tof_4,tof_4_1e-08_QuckPartitioner3_LEAP,7,6.16244101524353,5,30,5,26,25,155,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.0,37.0,1.0,6.8,,False,BQSkit
tof_4,tof_4_OptimizationLevel3,7,0.014918565750122001,0,30,5,26,25,86,"h, ccx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
gf2^5_mult,gf2^5_mult_1e-08_QuckPartitioner3_QSearch,15,24.81687569618225,29,154,16,77,97,683,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.592592592592592,31.51851851851852,1.074074074074074,5.703703703703703,,False,BQSkit
gf2^5_mult,gf2^5_mult_1e-08_QuckPartitioner3_LEAP,15,11.582716464996338,29,154,16,77,97,683,"HGate, CNOTGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.592592592592592,36.148148148148145,1.074074074074074,6.62962962962963,,False,BQSkit
gf2^5_mult,gf2^5_mult_OptimizationLevel3,15,0.019174337387084,4,154,16,77,97,353,"h, ccx, cx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
qec,qec_1e-08_QuckPartitioner3_QSearch,5,3.326171636581421,4,5,3,5,8,9,"CircuitGate(Circuit(5)[CNOTGate@(0, 3) ... CNOTGate@(2, 4)]), measurement, measurement, barrier, XGate","XGate, barrier,  CNOTGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,2.25,10.0,1.25,1.5,,False,BQSkit
qec,qec_1e-08_QuckPartitioner3_LEAP,5,3.233980178833008,4,5,3,5,8,9,"CircuitGate(Circuit(5)[CNOTGate@(0, 3) ... CNOTGate@(2, 4)]), measurement, measurement, barrier, XGate","XGate, barrier,  CNOTGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,2.25,10.0,1.25,1.5,,False,BQSkit
qec,qec_OptimizationLevel3,5,0.007313251495361,0,4,1,4,11,9,"measure, x, barrier, syndrome","x, cx, barrier",,,,,,,,,,,3.0,False,Qiskit
ham15-low,ham15-low_1e-08_QuckPartitioner3_QSearch,17,23.830466985702515,121,236,88,167,213,811,"CNOTGate, HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,3.0,20.253521126760564,1.704225352112676,3.478873239436619,,False,BQSkit
ham15-low,ham15-low_1e-08_QuckPartitioner3_LEAP,17,11.981019258499146,121,236,88,167,213,811,"CNOTGate, HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,3.0,22.295774647887324,1.704225352112676,3.887323943661972,,False,BQSkit
ham15-low,ham15-low_OptimizationLevel3,17,0.019361495971679,98,236,88,167,213,461,"cx, h, ccx","cx, rz, sx",,,,,,,,,,,3.0,False,Qiskit
barenco_tof_4,barenco_tof_4_1e-08_QuckPartitioner3_QSearch,7,16.071847200393677,8,48,8,42,34,230,"HGate, CCXGate","SqrtXGate, CNOTGate,  RZGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.25,33.0,1.0,6.0,,False,BQSkit
