Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimization,Two-Qubit Gate Depth After Optimization,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
qiskit_bv_all_ones_16,qiskit_bv_all_ones_16_OptimizationLevel3,16,0.04968142509,15,15,15,15,62,103,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_17,qiskit_bv_all_ones_17_1e-08_ScanPartitioner3_QSearch,17,2.646019936,16,16,16,16,66,116,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,6.25,13,2,2,,FALSE,BQSkit
qiskit_bv_all_ones_17,qiskit_bv_all_ones_17_1e-08_ScanPartitioner3_LEAP,17,3.024925947,16,16,16,16,66,116,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,6.25,13.625,2,2.125,,FALSE,BQSkit
qiskit_bv_all_ones_17,qiskit_bv_all_ones_17_OptimizationLevel3,17,0.0531039238,16,16,16,16,66,109,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_18,qiskit_bv_all_ones_18_1e-08_ScanPartitioner3_QSearch,18,2.997802258,17,17,17,17,70,123,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,5.888888889,13.44444444,1.888888889,2.111111111,,FALSE,BQSkit
qiskit_bv_all_ones_18,qiskit_bv_all_ones_18_1e-08_ScanPartitioner3_LEAP,18,2.434716463,17,17,17,17,70,123,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, CNOTGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,5.888888889,12.33333333,1.888888889,1.888888889,,FALSE,BQSkit
qiskit_bv_all_ones_18,qiskit_bv_all_ones_18_OptimizationLevel3,18,0.07844805717,17,17,17,17,70,115,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
qiskit_bv_all_ones_19,qiskit_bv_all_ones_19_1e-08_ScanPartitioner3_QSearch,19,9.31834197,18,18,18,18,74,130,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,0.00000001,less-than-multi,3,2^3,6.222222222,13,2,2,,FALSE,BQSkit
qiskit_bv_all_ones_19,qiskit_bv_all_ones_19_1e-08_ScanPartitioner3_LEAP,19,-3.659446955,18,18,18,18,74,130,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, CNOTGate, measurement","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,0.00000001,less-than-multi,3,2^3,6.222222222,13,2,2,,FALSE,BQSkit
qiskit_bv_all_ones_19,qiskit_bv_all_ones_19_OptimizationLevel3,19,0.06056165695,18,18,18,18,74,121,"h, cx, measure, x","rz, sx, cx",,,,,,,,,,,3,FALSE,Qiskit
